/usr/bin/ansible-playbook -v -i envs/prod/dpf/hosts provision.yml

elos-lb.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-live1.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-live2.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-live3.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-live4.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-rec1.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-rec2.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos-sip.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
elos.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
stun.pf.gov.br: 15 OK, 10 changed, 0 unreachable, 0 failed
