/usr/bin/ansible-playbook -i envs/rnp/prod/hosts -l mconf-live220-20200318 provision.yml

live-cdcrec19.mconf.rnp.br: 287 OK, 66 changed, 0 unreachable, 0 failed
live-cdcrec20.mconf.rnp.br: 8 OK, 1 changed, 0 unreachable, 1 failed
live-cdcrec21.mconf.rnp.br: 287 OK, 66 changed, 0 unreachable, 0 failed
live-cdcrec22.mconf.rnp.br: 287 OK, 66 changed, 0 unreachable, 0 failed
live-unb01.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb02.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb03.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb04.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb05.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb06.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb07.mconf.rnp.br: 303 OK, 123 changed, 0 unreachable, 0 failed
live-unb08.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
live-unb09.mconf.rnp.br: 302 OK, 122 changed, 0 unreachable, 0 failed
live-unb10.mconf.rnp.br: 286 OK, 60 changed, 0 unreachable, 0 failed
