/usr/bin/ansible-playbook -v -i envs/rnp/h/hosts -l mconf-live110,mconf-live220,mconf-rec,mconf-recw provision.yml -T 180 --force-handlers

live-compute01.h.mconf.rnp.br: 200 OK, 49 changed, 0 unreachable, 0 failed
live-compute02.h.mconf.rnp.br: 201 OK, 49 changed, 0 unreachable, 0 failed
live-compute03.h.mconf.rnp.br: 44 OK, 12 changed, 0 unreachable, 1 failed
live-compute04.h.mconf.rnp.br: 245 OK, 52 changed, 0 unreachable, 0 failed
rec-compute01.h.mconf.rnp.br: 220 OK, 45 changed, 0 unreachable, 0 failed
rec-ufg01.h.mconf.rnp.br: 220 OK, 47 changed, 0 unreachable, 0 failed
recw-compute01.h.mconf.rnp.br: 192 OK, 43 changed, 0 unreachable, 0 failed
recw-compute02.h.mconf.rnp.br: 192 OK, 43 changed, 0 unreachable, 0 failed
